 ,Label,Area,Min,Max,X,Y,BX,BY,Width,Height,Circ.,AR,Round,Solidity,Length
223,ddd-1.png:0443-0391,0.000,118,118,44.613,62.152,44.582,62.043,0.124,0.124,0.000,0.000,0.000,NaN,0
224,ddd-1.png:0443-0391,0.000,101,101,44.799,62.074,44.706,62.043,0.124,0.124,0.000,0.000,0.000,NaN,0
225,ddd-1.png:0443-0391,0.000,116,116,44.907,62.012,44.830,61.920,0.124,0.124,0.000,0.000,0.000,NaN,0
226,ddd-1.png:0443-0391,0.000,97,97,45.062,61.920,44.954,61.920,0.124,0.124,0.000,0.000,0.000,NaN,0
227,ddd-1.png:0443-0391,0.000,118,118,45.139,61.780,45.077,61.672,0.124,0.124,0.000,0.000,0.000,NaN,0
228,ddd-1.png:0443-0391,0.000,116,116,45.186,61.656,45.077,61.548,0.124,0.124,0.000,0.000,0.000,NaN,0
229,ddd-1.png:0443-0391,0.000,101,101,45.108,61.517,45.077,61.424,0.124,0.124,0.000,0.000,0.000,NaN,0
230,ddd-1.png:0443-0391,0.000,101,101,44.938,61.440,44.830,61.424,0.124,0.124,0.000,0.000,0.000,NaN,0
231,ddd-1.png:0443-0391,0.000,85,85,44.830,61.378,44.830,61.300,0.124,0.124,0.000,0.000,0.000,NaN,0
232,ddd-1.png:0443-0391,0.000,83,83,44.706,61.378,44.706,61.300,0.124,0.124,0.000,0.000,0.000,NaN,0
233,ddd-1.png:0443-0391,0.000,88,88,44.551,61.347,44.458,61.300,0.124,0.124,0.000,0.000,0.000,NaN,0
234,ddd-1.png:0443-0391,0.000,96,96,44.443,61.316,44.334,61.300,0.124,0.124,0.000,0.000,0.000,NaN,0
235,ddd-1.png:0443-0391,0.000,92,92,44.303,61.223,44.211,61.176,0.124,0.124,0.000,0.000,0.000,NaN,0
236,ddd-1.png:0443-0391,0.000,98,98,44.195,61.084,44.087,61.053,0.124,0.124,0.000,0.000,0.000,NaN,0
237,ddd-1.png:0443-0391,0.000,98,98,44.195,61.084,44.087,61.053,0.124,0.124,0.000,0.000,0.000,NaN,0
238,ddd-1.png:0443-0391,0.000,99,99,44.102,60.991,44.087,60.929,0.124,0.124,0.000,0.000,0.000,NaN,0
239,ddd-1.png:0443-0391,0.000,99,99,44.102,60.991,44.087,60.929,0.124,0.124,0.000,0.000,0.000,NaN,0
240,ddd-1.png:0443-0391,0.000,111,111,44.133,60.805,44.087,60.805,0.124,0.124,0.000,0.000,0.000,NaN,0
241,ddd-1.png:0443-0391,0.000,120,120,44.133,60.712,44.087,60.681,0.124,0.124,0.000,0.000,0.000,NaN,0
242,ddd-1.png:0443-0391,0.000,119,119,44.241,60.619,44.211,60.557,0.124,0.124,0.000,0.000,0.000,NaN,0
243,ddd-1.png:0443-0391,0.000,119,119,44.241,60.619,44.211,60.557,0.124,0.124,0.000,0.000,0.000,NaN,0
244,ddd-1.png:0443-0391,0.000,115,115,44.381,60.526,44.334,60.433,0.124,0.124,0.000,0.000,0.000,NaN,0
245,ddd-1.png:0443-0391,0.000,84,84,44.598,60.480,44.582,60.433,0.124,0.124,0.000,0.000,0.000,NaN,0
246,ddd-1.png:0443-0391,0.000,79,79,44.799,60.418,44.706,60.310,0.124,0.124,0.000,0.000,0.000,NaN,0
247,ddd-1.png:0443-0391,0.000,73,73,44.845,60.294,44.830,60.186,0.124,0.124,0.000,0.000,0.000,NaN,0
248,ddd-1.png:0443-0391,0.000,76,76,44.861,60.155,44.830,60.062,0.124,0.124,0.000,0.000,0.000,NaN,0
249,ddd-1.png:0443-0391,0.000,78,78,44.799,60.015,44.706,59.938,0.124,0.124,0.000,0.000,0.000,NaN,0
250,ddd-1.png:0443-0391,0.000,78,78,44.721,59.938,44.706,59.938,0.124,0.124,0.000,0.000,0.000,NaN,0
251,ddd-1.png:0443-0391,0.000,76,76,44.613,59.876,44.582,59.814,0.124,0.124,0.000,0.000,0.000,NaN,0
252,ddd-1.png:0443-0391,0.000,77,77,44.474,59.845,44.458,59.814,0.124,0.124,0.000,0.000,0.000,NaN,0
253,ddd-1.png:0443-0391,0.000,79,79,44.365,59.783,44.334,59.690,0.124,0.124,0.000,0.000,0.000,NaN,0
254,ddd-1.png:0443-0391,0.000,93,93,44.257,59.659,44.211,59.567,0.124,0.124,0.000,0.000,0.000,NaN,0
